Abstract,Abstract Description,Name/Institution/Workplace,Time Slot,Student Presenter
Spatially Structured Sparseness in Bayesian Spatial Health Modeling,Often geospatial disease outcomes are characterized by sparseness when viewed as a count distribution. This is sometimes called zero-inflation. Classically the models for zero inflation are of two types: zero class modelled as ‘structural’ or ‘Poisson’ or as hurdle models where the zeroes are treated completely separately from the truncated Poisson positive counts. Often the idea of structural zeroes is not made specific in that no attempt is made to assess which zeroes are in that class. In this talk I describe an approach which models the spatial structure of the structural zero class and provides estimates of the spatial distribution of the probability of being structural or not. This is applied in a spatio-temporal context. Different assumptions about the spatial prior distribution of the structural probability are compared using a Bayesian formulation. An example of spatio-temporal modeling of sudden infant death in the counties of Georgia USA will be presented.,"Andrew Lawson Medical University of South Carolina, Ray Boaz Medical University of South Carolina",Monday 10:42-11:04,N
Continuous Models for Aggregated Spatio-Temporal Data in Practice,"Dr. Brown and his collaborators have presented the local-EM algorithm for smoothing aggregated data a number of times at past SSC conferences, although the methodology has been too computationally intensive (and labour intensive) to attract a following. This year's talk will change the situation with the presentation of an R package and a description of the methodological and computational improvements which have made the method useful in practice. Efficient use of R's spatial data structures and parallel processing has decreased to the computational burden of the method to a manageable level. Re-casting the algorithm as modelling a latent-Gaussian process rather than a kernel smoother has allowed for a sparse matrix Markov random field approximation for the covariance matrix. An R package includes several examples using real datasets. ","Patrick E. Brown St. Michael's Hospital, Ofir Hariri University of Toronto, Alisha Albert-Green University of Toronto, Jamie Stafford University of Toronto, Paul Nguyen Queen's University, Lennon Li Public Health Ontario",Monday 11:04-11:26,N
Estimating Cross-validatory Predictive P-values with Integrated Importance Sampling for Disease Mapping Models,"An important statistical task in disease mapping problems is to identify divergent regions with unusually high or low risk of disease. Leave-one-out cross-validatory (LOOCV) model assessment is the gold standard for estimating predictive p-values that can flag such divergent regions. However, LOOCV is time-consuming. We introduce a new method, called integrated importance sampling (iIS), for estimating LOOCV predictive p-values with only Markov chain samples drawn from the posterior based on a full data set. The formula used by iIS can be proved to be equivalent to the LOOCV predictive p-value. We compare iIS and three other existing methods in the literature with two disease mapping datasets. Our empirical results show that the predictive p-values estimated with iIS are almost identical to the predictive p-values estimated with actual LOOCV, and outperform those given by the existing three methods, namely, the posterior predictive checking, the ordinary importance sampling, and the ghosting method by Marshall and Spiegelhalter (2003).","Longhai Li University of Saskatchewan, Xin (Cindy) Feng University of Saskatchewan, Shi Qiu International Road Dynamics",Monday 11:26-11:50,N
From Brain to Hand to Statistics with Dynamic Smoothing,"Systems of differential equations are often used to model buffering processes that modulate a non-smooth high-energy input so as to produce an output that is smooth and that distributes the energy load over time and space. Handwriting is buffered in this way. We show that the smooth complex script that spells ``statistics"" in Chinese can be represented as buffered version of a series of 46 equal-interval step inputs. The buffer consists of three undamped oscillating springs, one for each orthogonal coordinate. The periods of oscillation vary slightly over the three coordinate in a way that reflects the masses that are moved by muscle activations. We use the term ``dynamic smoothing"" for the estimation of a structured input functional object along with the buffer characteristics.","James O. Ramsay McGill University, Michelle Carey University College Dublin, Juan Li McGill University",Monday 10:20-10:50,N
Approximations to Facilitate Data Assimilation for High Dimensional Dynamical Systems,"A major challenge for inference in spatio-temporal dynamical systems is the high dimension of the simulation models used; model integration, or forward simulation, is extremely computationally costly. Ensemble–based data assimilation has emerged as a method of choice for state estimation for environmental prediction based on numerical models of the ocean, climate, and atmosphere. There is also interest in parameter estimation and uncertainty quantification (UQ) for these problems. In this talk, I will discuss approximate approaches to facilitate state and parameter estimation, as well as UQ, for these computationally costly systems. This overview will include ensemble Kalman filters, and various approximations for particle filters. The use of emulators is also discussed. The approaches are illustrated using data assimilation problems in oceanography.",Mike Dowd Dalhousie University,Monday 10:50-11:20,N
"Challenges and Strategies for Inference on a Stochastic Multi-Pathogen Model of Disease Dynamics in San Luis Potosi, Mexico ","Acute respiratory diseases (ARI) are a public health concern associated with morbidity and mortality, especially in children and the elderly. The nature of individual interactions mean that disease dynamics in a large population may be described by a stochastic process model governed by a system of stochastic differential equations (SDE). When multiple ARI are in circulation, the dynamics are further complicated, and the corresponding SDE cannot be solved analytically. In this analysis we examine the challenges of inference for models of multiple pathogen dynamics, including the inability to distinguish different pathogens based on symptoms and the partial symmetries in the model. We discuss how to overcome resulting identifiability problems by utilizing additional data sources and modeling data from multiple outbreak seasons simultaneously.","Oksana Chkrebtii Ohio State University, Yury E. Garcia Centro de Investigacion en Matematicas, Marcos A. Capistran Centro de Investigacion en Matematicas",Monday 11:20-11:50,N
Causal Inference with Measurement Error in Outcomes: Bias Analysis and Estimation Methods,"The average treatment effect (ATE) is often of primary interest in causal inference, and it is commonly estimated based on the inverse probability weighting (IPW) method. Its validity, however, is challenged by the presence of error-prone outcomes. In this paper we investigate various issues concerning IPW estimation of ATE with mismeasured outcome variables. We study the impact of measurement error and reveal important consequences of the naive analysis which ignores measurement error. When a continuous outcome variable is mismeasured under an additive measurement error model, the naive analysis still yields a consistent estimator; when the outcome is binary, we derive the asymptotic bias in a closed-form. To conduct valid inference, we develop estimation procedures for practical scenarios where either validation data or replicates are available. Furthermore, with validation data we propose an efficient method which substantially outperforms usual methods of using validation data.","Di Shu University of Waterloo, Grace Yi University of Waterloo",Monday 10:20-10:35,N
A Unified Empirical Likelihood Approach to Testing MCAR and Subsequent Estimation,"For estimation with missing data, a crucial step is to determine if the data are missing completely at random (MCAR), in which case a complete-case analysis would suffice. Most existing tests for MCAR do not provide a method for subsequent estimation once the MCAR is rejected. In the setting of estimating the means of some response variables that are subject to missingness, we propose a unified approach to testing MCAR and the subsequent estimation. Upon rejecting MCAR, the same set of weights used for testing can then be used for estimation. The resulting estimators are consistent if the missingness of each response variable depends on a set of fully observed auxiliary variables only and the true outcome regression model is among the user-specified functions for deriving the weights. The proposed procedure is based on the calibration idea from survey sampling literature and the empirical likelihood theory. This is joint work with Peisong Han and Changbao Wu.","Shixiao Zhang University of Waterloo, Peisong Han University of Waterloo, Changbao Wu University of Waterloo",Monday 10:35-10:50,N
Non-regular Inference for Dynamic Weighted Ordinary Least Squares: Understanding the Impact of Solid Food Intake in Infancy on Childhood Weight,"A dynamic treatment regime (DTR) is a set of decision rules to be applied across multiple stages of treatments. The decisions are tailored to individuals, inputting an individual's observed characteristics and outputting a treatment decision at each stage for that individual. Dynamic weighted ordinary least squares (dWOLS) is a theoretically robust and easily implemented method for estimating an optimal DTR. Like many DTR estimators, the dWOLS estimators can be non-regular when true treatment effects are zero or very small, resulting in invalid Wald-type or standard bootstrap confidence intervals. Inspired by an analysis of the effect of diet in infancy on weight and body size in childhood, we investigate the use of the m-out-of-n bootstrap with dWOLS for valid inferences of optimal DTR. We provide an extensive simulation study to compare the performance of different choices of resample size m in situations where the treatment effects are non-regular. We illustrate the methodology to study the effect of solid food intake in infancy on long-term health outcomes.","Gabrielle Simoneau McGill University, Erica E.M. Moodie McGill University, Robert W. Platt McGill University, Bibhas Chakraborty Duke-NUS Medical School, National University of Singapore",Monday 10:50-11:05,N
Kernel-Based Causal Inference,"An important goal in estimating the causal effect is to achieve balance in the covariates. We propose using kernel distance to measure balance among different treatment groups and propose a new propensity score estimator by setting the kernel distance to be zero. The estimating equations are solved by generalized method of moments. Simulation studies are conducted across different scenarios varying in the degree of nonlinearity. The simulation study shows that the proposed approaches produce smaller mean squared errors in estimating causal treatment effects than many existing approaches including the well-known covariate balance propensity score (CBPS) approach. Further, it is shown that the kernel distance is one of the best bias indicators in estimating the causal effect compared to other balance measures, such as absolute standardized mean difference (ASMD) and KS statistic. ","Yuying Xie University of Waterloo, Yeying Zhu University of Waterloo, Cecilia Cotton University of Waterloo",Monday 11:05-11:20,N
Incorporating Medians in Meta-Analysis,"In meta-analysis of a continuous outcome, usually studies that report medians are excluded or the median and spread are used to estimate a mean and standard deviation in order to estimate a pooled effect across studies. In our previous work, we proposed several methods to directly meta-analyze medians. We showed via simulation that these methods outperform methods that estimate means and standard deviations from studies reporting medians, and we provided guidelines for data analysts to improve the performance of meta-analyzing studies that report medians. We apply these novel methods to recently published meta-analyses and evaluate the extent to which the pooled estimates and conclusions drawn from these meta-analyses change when using these methods.","Sean McGrath McGill University, Russell Steele McGill University, Andrea Benedetti McGill University",Monday 11:20-11:35,N
Use of the Segmented Regression Analysis Approach to Adjust for Potential Confounders and Effect Modifiers when Evaluating Public Health Interventions,"The segmented regression analysis approach is a useful method that may be used to evaluate effects of public health interventions. This approach may be superior to standard time-series analyses because it allows for short and long-term effects evaluation, while adjusting for potential confounders and assessing study subject characteristics (like socioeconomic status [SES]) that may influence these effects. We used the segmented regression approach to study if implementation of a pediatric diabetes network in Ontario decreased SES-disparities in emergency (ED) visits. We used population-based aggregate data of annual crude rates for each level of SES and potential confounders: geographic location, sex and age group. We determined population average adjusted ED-visit rate ratios by accounting for the number of individuals in each aggregate using generalized estimating equation with a Poisson link. We observed that, after network implementation, ED-visits decreased significantly in the lowest SES quintiles. We concluded that the segmented regression analysis approach may be used to analyse aggregate ecological data while adjusting for potential confounders and effect modifiers.","Marc Simard Institut national de santé publique du Quebec, Nathalie Vandal Institut National de Santé Publique du Québec, Meranda Nakhla Research Institute of the McGill University Health Centre and McGill University, Elham Rahme Research Institute of the McGill University Health Centre, Astrid Guttmann Hospital for Sick Children, University of Toronto, Institute of Health Policy, Management and Evaluation, and Institute for Clinical Evaluative Sciences",Monday 11:35-11:50,N
Tail Empirical Processes for Stochastic Volatility Models,"We consider the tail empirical process (TEP) related to a distribution with a regularly varying tail. This is an important tool used in nonparametric estimation of extremal quantities, like the Hill estimator of the index of regular variation, or various risk measures. In this talk, we consider a long memory stochastic volatility model of interest in finance. We first start by investigating some probabilistic properties of this model. We establish central and non-central limit theorems for the TEP and apply these results to investigate the asymptotic behaviour of the aforementioned extremal quantities. Our theoretical results are illustrated by simulation studies. ","Clemonell Bilayi-Biakana University of Ottawa, Rafal Kulik University of Ottawa, Gail Ivanoff University of Ottawa",Monday 10:20-10:35,N
Modeling Recurrent Gap times Through Conditional GEE,"In this paper, we present the analysis of recurrent event data subject to censoring using generalized estimating equations for the conditional means and variances of the gap times. Censoring is dealt with by imposing conditional independence assumptions on the censored gap times, the covariates and the censoring times. Simulation results demonstrate the relative robustness of parametric estimates even when this assumption is incorrect. We actually estimate the censored gap time using only the observed data, by solving estimating equations that are asymptotically unbiased. We prove the strong consistency using modern analytical techniques and illustrate our results through simulations. ","Hai Yan Liu University of Ottawa, Ioana Schiopu-Kratina University of Ottawa, Pierre-Jerome Bergeron University of Ottawa, Mayer Alvo University of Ottawa",Monday 10:35-10:50,N
New approach to GIX/Geom/1 Queues involving Heavy-Tailed distributions,"We provide an analytically simple and computationally efficient solution to the discrete-time queueing model GIX /Geom/1. Using the imbedded Markov chain method, the analysis has been carried out for the late-arrival system and the results for the early-arrival system have been derived from those of the late-arrival system. The probability distributions of the numbers in the system at various epochs are all found in terms of roots of the underlying characteristic equation. Numerical results are also discussed. ","James Kim Royal Canadian Air Forces, Mohan Chaudhry Royal Military College of Canada",Monday 10:50-11:05,N
On Convergence of Sample Correlation Matrices in High-Dimensional Data,"In this talk, we consider an estimation problem concerning the matrix of correlation coefficient in context of high dimensional data settings. In particular, we revisited some results in Li and Rolsalsky [Li, D. and Rolsalsky, A. (2006). Some strong limit theorems for the largest entries of sample correlation matrices, The Annals of Applied Probability, 16, 1, 423-447]. We extend one of the findings in Li and Rosalsky (2006) and, we simplify remarkably the proof of one of the result of the quoted paper. Further, we generalize a theorem which is useful in deriving the existence of the pth moment as well as in studying the convergence rates in law of large numbers.","Yueleng Wang University of Windsor, Sévérien Nkurunziza University of Windsor",Monday 11:05-11:20,N
Importance Sampling Techniques for Single Index Models,"In rare-event simulation, a plain Monte Carlo estimator is bound to be imprecise since the samples from the underlying distribution has a low chance of landing on the important region. Importance sampling (IS) is a popular variance reduction technique in these situations. IS draws samples from a proposal distribution which is constricted in such a way that it places heavier weights on the important region. The design of the effective proposal distribution, however, is generally hard when many variables are involved as it becomes harder to characterize which part of the domain corresponds to the important region. Fortunately, any high-dimensional problems have a low-dimensional structures. In many cases, one-dimensional projection (single index) of the input vector captures a large majority of overall variance. Our IS technique exploits such a low-dimensional structure of those problems and constructs an efficient proposal distribution. ","Yoshihiro Taniguchi University of Waterloo, Christiane Lemieux University of Waterloo",Monday 11:20-11:35,N
A Comparison of Mixture Modeling Approaches for Clustering Longitudinal Binary Data,"Mixture modelling has been increasingly used in clinical and epidemiological research for clustering patients into different developmental trajectories. Many previous studies have been concerned with continuous data, whereas only a limited number of studies focus on evaluating appropriate approaches for clustering binary data. Using simulated data, this study aims to investigate several mixture modeling approaches, namely the standard latent class model, the growth mixture model, the K-means mixture model, and a Bayesian latent class model. Various scenarios with differing sample sizes, number of classes, class sizes, and development trajectories shapes are considered. We focus on evaluating the performance of these approaches in recovering the true class membership and development trajectories for longitudinal binary responses. For illustration, we also present a case study using real data. ",Zihang Lu University of Toronto,Monday 10:20-10:35,N
Quantile and Expectile Regression for Random Effects Models,"Quantile and expectile regression models pertain to the estimation of unknown quantiles/expectiles of the cumulative distribution function of a dependent variable as a function of a set of covariates and a vector of regression coefficients. Both approaches make no assumption on the shape of the distribution of the response variable, allowing for investigation of a comprehensive class of covariate effects. We develop methods for panel data within a random effects framework. We provide asymptotic properties of the underlying model parameter estimators and suggest appropriate estimators of their variances-covariances matrices. The performance of the suggested estimators is evaluated through simulation studies and the methodology is illustrated using real data. The simulations show that expectile regression is comparable to quantile regression, easily computable and has relevant statistical properties. In conclusion, expectiles are to the mean what quantiles are to the median, and should be used and interpreted as quantilized mean.","Amadou Diogo Barry Université du Québec à Montréal, Karim Oualkacha Université du Québec à Montréal, Arthur Charpentier Université de Rennes",Monday 10:35-10:50,N
Component Selection and Estimation for Functional Semiparametric Additive Model,"We propose a functional semiparametric additive model which incorporates the effects of functional covariates and scalar covariates. More specifically, the effect of a functional covariate is modeled nonparametrically while a linear form is adopted to model the effects of the scalar covariates. This strategy can enhance flexibility in modelling the effect of the functional covariate while maintaining interpretability for the effects of scalar covariates. Additionally, an estimation method is developed to smooth and select non-vanishing components when estimating the nonparametric components. The coefficients for the scalar covariates can be obtained simultaneously by our proposed method. The finite sample performance of our proposed model and the corresponding estimation method are compared with various methods using simulation studies. Our proposed method is demonstrated by a real application of predicting the protein content in meat samples using Tecator absorbance spectra and fat and water contents of the meat samples.","Peijun Sang Simon Fraser University, Jiguo Cao Simon Fraser University, Richard Lockhart Simon Fraser University",Monday 10:50-11:05,N
On Copula-Based Conditional Quantile Estimators,"Recently, two different copula-based approaches have been proposed to estimate the conditional quantile function of a variable Y with respect to a vector of covariates X: the first estimator is related to quantile regression weighted by the conditional copula density, while the second estimator is based on the inverse of the conditional distribution function written in terms of margins and the copula. Using empirical processes, we show that even if the two estimators look quite different, they converge to the same limit. We also propose a bootstrap procedure for the limiting process in order to be able to construct uniform confidence bands around the conditional quantile function. A case study based on hydro-climatic data illustrates the proposed methodology.","Bouchra Nasri HEC Montreal, Bruno Rémillard HEC Montréal, Taoufik Bouezmarni Université de Sherbrooke",Monday 11:05-11:20,N
Trajectory Modeling of Gestational Weight: a Functional Principal Component Analysis Approach,"Suboptimal gestational weight gain (GWG), which is linked to increased risk of adverse outcomes for a pregnant woman and her infant, is prevalent. In a large cohort study of Canadian pregnant women, our goals are to estimate the individual weight growth trajectory using sparsely collected data, and to identify the factors affecting the total GWG. The first goal was achieved through functional principal component analysis (FPCA) by conditional expectation. For the second goal, we used linear regression with the total weight gain as the response variable. The trajectory modeling through FPCA had significantly smaller mean square error and improved adaptability than the traditional nonlinear mixed-effect models, demonstrating a novel tool to facilitate real-time monitoring and interventions of GWG. Our regression analysis showed that prepregnancy body mass index (BMI) had a high predictive value for the total GWG, which agrees with the published weight gain guideline.","Menglu Che University of Waterloo, Linglong Kong University of Alberta, Rhonda Bell University of Alberta, Yan Yuan University of Alberta",Monday 11:20-11:35,N
Ordinal Regression for the Analysis of Health Utility Data,"Health utility (HU) data are negatively skewed and bounded by 1, with most observations lying close to that bound and some with extremely low levels. HU has been analyzed by linear regression (OLS) which assumes normally distributed errors and lacks a restriction at the upper limit; Ordinal Regression (OR) is not limited by such assumptions and it produces estimates bounded at 1. This study compares the performance of OR to OLS for the prediction of HU given covariates, using simulated and real data of prostate cancer patients. Using various sample sizes and three different distributions, HU data were simulated and analyzed by OLS and OR. Models were evaluated by the bias and coverage probability of the estimated mean, and by using the Root Mean Square Error (RMSE) comparing simulated and predicted HU values. Results show that OR provides more accurate estimates regardless of sample size, while OLS bias increases as HU approaches zero. Coverage probability is similar in both methods.","Myrtha E. Reyna Vargas University of Toronto, Nicholas Mitsakakis University of Toronto",Monday 11:35-11:50,N
Confidence Estimating Functions for Data Integration,"The theory of statistical inference along with the strategy of divide-and-combine for large-scale data analysis has recently attracted considerable interest due to the popularity of the MapReduce scheme. The key to the development of statistical inference lies in the method of combining results yielded from separately mapped data batches. We consider a general inferential methodology based on estimating functions, which allows us to perform regression analyses of massive complex data via the MapReduce scheme, such as longitudinal data, survival data and quantile regression, which cannot be done using the maximum likelihood method. The proposed statistical inference inherits many key large-sample properties of estimating functions. Also we show that the proposed method is closely connected to the generalized method of moments (GMM). Our method provides a unified framework for many kinds of statistical models and data types, which is illustrated via numerical examples in both simulation studies and real-world data analyses. ","Peter X. Song University of Michigan, Ling Zhou University of Michigan",Monday 13:30-14:00,N
Inference from Survival Data using Imprecise Probabilities,"Imprecise probability (IP) is a generalization de Finetti's approach to probability, formalized by Williams (1975) and extensively discussed in a monograph by Walley (1991), who presented these ideas in a JRSS discussion paper (1996). The methodology can be interpreted as Bayesian sensitivity analysis using a set of priors. In his 1996 presentation, Walley introduced a practical form for this inference on discrete data by using a family of Dirichlet priors with a fixed concentration parameter. He proposed that it could also be used for survival data by discretization. Coolen (1997) extended Walley's model to allow for censoring, and Coolen and Yan (2004) proposed a nonparametric predictive inference paradigm which also led to IP conclusions. Bickis (2009) used IP concepts to estimate the hazard function. After reviewing the methodology, we will be presenting an IP version of the log-rank test, which will produce a sequence of imprecise posteriors updated at the time of each death.","Mikelis Guntars Bickis University of Saskatchewan, Naeima Ashleik University of Saskatchewan, Juxin Liu University of Saskatchewan",Monday 14:00-14:30,N
Bayesian Adaptive Designs for Efficient Drug Development and Precision Oncology,"Clinical trial is a prescribed learning process. Bayesian methods take the “learn as we go” approach and are uniquely suitable for such learning. In recent years, rapid advancements in medicine demand innovative methods to identify better therapies and the most appropriate population in a timely and efficient way. I will first illustrate the concept of Bayesian update and Bayesian inference, then, give an overview of Bayesian adaptive designs in dose finding, predictive probability, multi-arm platform design, and outcome adaptive randomization, etc. Applications including BATTLE trials in lung cancer and I-SPY trials in breast cancer will be given. Bayesian adaptive designs increase the study efficiency, allow more flexible trial conduct, and treat more patients with more effective treatments in the trial but also possess desirable frequentist properties. Perspectives will be given on future development in trial design, conduct, and evaluation to streamline and speed up drug approval.",J. Jack Lee University of Texas MD Anderson Cancer Center,Monday 14:30-15:00,N
Spatio-Temporal Noise Models for the Analysis of Functional Magnetic Resonance Imaging Data,"Modern functional magnetic resonance imaging (fMRI) techniques provide measurements of ongoing activity in the whole human brain at an unprecedented spatial (1mm) and temporal (1s) resolution. Unfortunately, the measurements are corrupted by substantial noise, arising both from intermittent artifacts such as subject motion, as well as from non-neural physiological processes. Latter processes lead to characteristic low-frequency drifts in the times-series data. Noise processes also show a characteristic spatial structure that depends substantially on the underlying neuroanatomy. It has become clear that many current noise models implemented in commonly used fMRI analysis packages lead to suboptimal estimation of model parameters and do not provide adequate statistical inference. I will show some of the developments in our lab to improve spatio-temporal noise models and will demonstrate their impact on single-voxel analysis, multi-variate pattern analysis, and whole-brain functional connectivity analysis.",Jörn Diedrichsen University of Western Ontario,Monday 13:30-14:00,N
Change Point Detection in Functional Time Series Models for Yield Curves,"Yield curves are functions defined on time to maturity with corresponding values equal to yield (interest) on a bond, typically a standardized government issued instrument. Yield curves are commonly used to predict future states of the economy on the basis of the interest investors demand for government debt of various maturities. These curves form a time series of functions, one function per day. The talk will discuss methods of detecting a change point in the mean function of such a functional time series. After reviewing recent research, we will present two methods: one which uses a factor representation of the yield curves, the other a fully nonparametric method. Both methods permit the second order structure to change independently of the changes in the mean structure. Based on the asymptotic theory, two numerical approaches to the implementation of the tests will be presented and compared. Application to US Federal Reserve yield curves will be presented.",Piotr Kokoszka Colorado State University,Monday 14:00-14:30,N
Change-Point Detection in Time Series using Ordinal Patterns ,"We propose new concepts in order to analyse and model the dependence structure between two time series. Our methods rely exclusively on the order structure of the data points. Hence, the methods are stable under monotone transformations of the time series and robust against small perturbations or measurement errors. Ordinal pattern dependence can be characterised by four parameters. We propose estimators for these parameters, and we calculate their asymptotic distributions. Furthermore, we derive a test for structural breaks within the dependence structure. All results are supplemented by simulation studies and empirical examples. ","Herold Dehling Ruhr University, Alexander Schnurr University of Siegen",Monday 14:30-15:00,N
Designing and Launching a Professional Master’s Program in Data Science: Tales from the UBC Experience,"The University of British Columbia recently launched a professional master’s program in Data Science. The first cohort of students began their studies in September 2016. In this talk I will describe this program, and some of the challenges and successes encountered thus far. Points of emphasis will include our thinking on the choice of topics to include, the choice of prerequisites, and the choice of delivery methods. Since our students will be undertaking capstone projects throughout May and June 2017, I also plan to give a ``live update’’ on how this is working.","Paul Gustafson University of British Columbia, Jenny Bryan University of British Columbia, Giuseppe Carenini University of British Columbia, Vincenzo Coia University of British Columbia, Giulio V. Dalla Riva University of British Columbia, Michael A. Gelbart University of British Columbia, Gail C. Murphy University of British Columbia, Raymond T.  Ng University of British Columbia, Tiffany A. Timbers University of British Columbia",Monday 13:30-14:15,N
