"","Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description","Location","Private"
"20","Talk 20","03/18/2018","09:43:00","03/18/2018","10:04:00","","A Novel Hidden Markov Model Approach for Differentially Methylated Region Identification in DNA Methylation Data","AMT 100","FALSE"
"21","Talk 21","03/18/2018","15:52:00","03/18/2018","16:14:00","","A Penalized Approach to Estimating Network Changes in the Human Microbiome","AMT 100","FALSE"
"22","Talk 22","03/19/2018","13:52:00","03/19/2018","14:14:00","","A Potts Mixture Spatiotemporal Joint Model for Combined MEG and EEG Data","SCI 333","FALSE"
"23","Talk 23","03/19/2018","12:00:00","03/20/2018","17:00:00","","A Power Comparison of Robust Tests for Monotone Trend in Recurrent Event Processes","EME 201","FALSE"
"24","Talk 24","03/19/2018","15:30:00","03/19/2018","15:52:00","","A Probabilistic-Based Approach for Clustering Sparse Single-Cell DNA Methylation Data","SCI 333","FALSE"
"25","Talk 25","03/19/2018","13:30:00","03/19/2018","13:52:00","","A Relational Model for Predicting Farm-Level Crop Yield Distributions in the Absence of Farm-Level Data","AMT 102","FALSE"
"26","Talk 26","03/19/2018","15:30:00","03/19/2018","15:52:00","","A Robust Allele-based Regression Framework for Testing Association and Hardy-Weinberg Equilibrium","AMT 101","FALSE"
"27","Talk 27","03/19/2018","12:00:00","03/20/2018","17:00:00","","A Second Chance? - A SoTL Project on Implementing Midterm Corrections in a Large Introductory-Level Statistics Course","EME 201","FALSE"
"28","Talk 28","03/18/2018","09:22:00","03/18/2018","09:43:00","","A Self-Selecting Procedure for the Optimal Discretization of the Timeline for Longitudinal Causal Inference Methods with Electronic Health Data","ASC 165","FALSE"
"29","Talk 29","03/18/2018","09:22:00","03/18/2018","09:43:00","","A Simple Tool for Bounding the Deviation of Random Matrices on Geometric Sets, with Applications","AMT 100","FALSE"
"30","Talk 30","03/18/2018","15:52:00","03/18/2018","16:14:00","","A Simple Variance Control Chart with Double Sampling Scheme","AMT 102","FALSE"
"31","Talk 31","03/19/2018","12:00:00","03/20/2018","17:00:00","","A Time Series Approach for the Underlying Driven Process in Stocks and its Large Sample Theory","EME 201","FALSE"
"32","Talk 32","03/20/2018","15:50:00","03/20/2018","16:10:00","","A Unified Empirical Likelihood Approach to Testing MCAR and Subsequent Estimation","AMT 101","FALSE"
"33","Talk 33","03/18/2018","09:01:00","03/18/2018","09:22:00","","Accurate Confidence Intervals for Clustered Data and Small Samples","ASC 165","FALSE"
"34","Talk 34","03/18/2018","13:30:00","03/18/2018","13:52:00","","Achieving Higher Efficiency and Robustness in Longitudinal Studies with Dropout","SCI 124","FALSE"
"35","Talk 35","03/18/2018","10:04:00","03/18/2018","10:25:00","","Adaptive Functional Regression with Manifold Structures","AMT 102","FALSE"
"36","Talk 36","03/19/2018","12:00:00","03/20/2018","17:00:00","","Advanced Regression Models for Automated Valuation Model","EME 201","FALSE"
"37","Talk 37","03/18/2018","15:52:00","03/18/2018","16:14:00","","Aggregate Claim Analysis in a Two-sided Exit Setting with Dependence","AMT 101","FALSE"
"38","Talk 38","03/20/2018","09:43:00","03/20/2018","10:04:00","","An Ancestral Tree-Based Approach to Detect Rare and Common Variants","AMT 102","FALSE"
"39","Talk 39","03/19/2018","10:04:00","03/19/2018","10:25:00","","An Extended Compound Symmetry Model for High-dimensional Covariance Matrix Estimation","AMT 102","FALSE"
"40","Talk 40","03/18/2018","15:30:00","03/18/2018","15:52:00","","An Interval Censored MPR Survival Model","AMT 102","FALSE"
"41","Talk 41","03/18/2018","08:40:00","03/18/2018","09:01:00","","An Overview of Existing and a Novel Approaches to Multi-label Classification","AMT 100","FALSE"
"42","Talk 42","03/20/2018","09:01:00","03/20/2018","09:22:00","","Analysis of Cluster-Randomized Trials with a Longitudinal Outcome Subject to Irregular Observation","AMT 100","FALSE"
"43","Talk 43","03/18/2018","10:04:00","03/18/2018","10:25:00","","Analysis of Heterogeneous Lifetime Data with Measurement Error in Covariate","AMT 100","FALSE"
"44","Talk 44","03/18/2018","11:07:00","03/18/2018","11:28:00","","Analysis of Recurrent Events Data Based on Trend-Renewal Process","ASC 165","FALSE"
"45","Talk 45","03/20/2018","09:43:00","03/20/2018","10:04:00","","Analysis of Recurrent Events with Dynamic Models for Dependent Gap Times: A Copula Approach","SCI 333","FALSE"
"46","Talk 46","03/19/2018","09:01:00","03/19/2018","09:22:00","","Approximation of Squared Integrable Random Variables with Nonlinear Stochastic Integrals","AMT 101","FALSE"
"47","Talk 47","03/20/2018","13:50:00","03/20/2018","14:10:00","","Approximations to Facilitate Data Assimilation for High Dimensional Dynamical Systems","SCI 333","FALSE"
"48","Talk 48","03/18/2018","14:14:00","03/18/2018","14:36:00","","Archimedean Copulas through Multivariate Gamma Distributions","ASC 165","FALSE"
"49","Talk 49","03/20/2018","09:01:00","03/20/2018","09:22:00","","Aspects of Genetic Meta-Analysis under Data Uncertainty","AMT 102","FALSE"
"50","Talk 50","03/19/2018","09:43:00","03/19/2018","10:04:00","","Automated Homework Generation and Grading with R","AMT 100","FALSE"
"51","Talk 51","03/18/2018","15:30:00","03/18/2018","15:52:00","","Balanced Imputation for Swiss Cheese Nonresponse","AMT 101","FALSE"
"52","Talk 52","03/19/2018","13:30:00","03/19/2018","13:52:00","","Bayesian Adaptive Designs for Efficient Drug Development and Precision Oncology","SCI 124","FALSE"
"53","Talk 53","03/18/2018","14:36:00","03/18/2018","14:58:00","","Bayesian Optimality for Beran's Class of Tests of Uniformity around the Circle","AMT 100","FALSE"
"54","Talk 54","03/18/2018","11:28:00","03/18/2018","11:49:00","","Bayesian Sensitivity Analysis for Non-ignorable Missing Data in Longitudinal Studies","AMT 101","FALSE"
"55","Talk 55","03/20/2018","15:30:00","03/20/2018","15:50:00","","Benefits of Transformations in the Analysis of Health Utility Data","AMT 102","FALSE"
"56","Talk 56","03/20/2018","10:25:00","03/20/2018","10:46:00","","Block-Wise Descent Algorithms for Group Variable-selection in Quantile Regression","AMT 102","FALSE"
"57","Talk 57","03/19/2018","14:36:00","03/19/2018","14:58:00","","Box-Cox Time Series","ART 163","FALSE"
"58","Talk 58","03/18/2018","10:04:00","03/18/2018","10:25:00","","Breaking the Myth of Breaking Randomization: A Causal Examination of Arm-Based Meta-Analysis","AMT 101","FALSE"
"59","Talk 59","03/19/2018","09:43:00","03/19/2018","10:04:00","","Building a Basketball Analytics Startup as a Statistics Student","SCI 124","FALSE"
"60","Talk 60","03/20/2018","15:10:00","03/20/2018","15:30:00","","Calibration of Measurements: An Extension of Classic Measurement Error Theory","AMT 102","FALSE"
"61","Talk 61","03/20/2018","10:04:00","03/20/2018","10:25:00","","Causal Inference from Big Data: Theoretical Foundations and the Data-Fusion Problem","ART 163","FALSE"
"62","Talk 62","03/20/2018","15:50:00","03/20/2018","16:10:00","","Causal Inference with Measurement Error in Outcomes: Bias Analysis and Estimation Methods","AMT 102","FALSE"
"63","Talk 63","03/18/2018","16:36:00","03/18/2018","16:58:00","","Challenges and Strategies for Inference on a Stochastic Multi-Pathogen Model of Disease Dynamics in San Luis Potosi, Mexico ","AMT 102","FALSE"
"64","Talk 64","03/20/2018","13:30:00","03/20/2018","13:50:00","","Change Point Detection in Functional Time Series Models for Yield Curves","AMT 102","FALSE"
"65","Talk 65","03/18/2018","13:30:00","03/18/2018","13:52:00","","Change-Point Detection in Time Series using Ordinal Patterns","EME 100","FALSE"
"66","Talk 66","03/20/2018","08:40:00","03/20/2018","09:01:00","","Classical and Modern Multivariate Statistical Analysis","AMT 100","FALSE"
"67","Talk 67","03/19/2018","08:40:00","03/19/2018","09:01:00","","Clustering Discrete Valued Time Series","AMT 100","FALSE"
"68","Talk 68","03/20/2018","10:04:00","03/20/2018","10:25:00","","Clustering of Functional Data using Mixture Model-Based Clustering","ASC 165","FALSE"
"69","Talk 69","03/20/2018","14:30:00","03/20/2018","14:50:00","","Combatting Overfitting in Finite Mixture Models","AMT 101","FALSE"
"70","Talk 70","03/20/2018","14:50:00","03/20/2018","15:10:00","","Combining Multiple Samples through Density Ratio Models for More Efficient Estimation","ASC 165","FALSE"
"71","Talk 71","03/20/2018","14:30:00","03/20/2018","14:50:00","","Common-Factor Multivariate Stochastic Volatility Modeling with Observable Proxy","SCI 333","FALSE"
"72","Talk 72","03/19/2018","10:04:00","03/19/2018","10:25:00","","Comparing Bayesian External and Internal Validation Methods in Correcting Outcome Misclassification Bias in Logistic Regression","AMT 100","FALSE"
"73","Talk 73","03/18/2018","15:30:00","03/18/2018","15:52:00","","Comparison of Multivariate Classifiers in the Presence of Covariates in Repeated Measures Designs","SCI 124","FALSE"
"74","Talk 74","03/20/2018","16:10:00","03/20/2018","16:30:00","","Component Selection and Estimation for Functional Semiparametric Additive Model","AMT 101","FALSE"
"75","Talk 75","03/20/2018","09:01:00","03/20/2018","09:22:00","","Computational Neuroscience: A Romance of Many Disciplines","AMT 101","FALSE"
"76","Talk 76","03/19/2018","16:14:00","03/19/2018","16:36:00","","Conditional Dependence Models under Covariate Measurement Error","AMT 102","FALSE"
"77","Talk 77","03/18/2018","14:36:00","03/18/2018","14:58:00","","Confidence Estimating Functions for Data Integration","ART 163","FALSE"
"78","Talk 78","03/18/2018","15:52:00","03/18/2018","16:14:00","","Constrained Mean-Variance Portfolio in a Market with Stochastic Volatility","ASC 165","FALSE"
"79","Talk 79","03/20/2018","13:50:00","03/20/2018","14:10:00","","Continuous Models for Aggregated Spatio-Temporal Data in Practice","AMT 102","FALSE"
"80","Talk 80","03/20/2018","13:50:00","03/20/2018","14:10:00","","Copula Dependence Modeling for Multi-type Recurrent Events using Composite Likelihood","SCI 124","FALSE"
"81","Talk 81","03/19/2018","13:52:00","03/19/2018","14:14:00","","Correcting False Discovery Rates for their Bias Toward False Positives","AMT 101","FALSE"
"82","Talk 82","03/19/2018","11:07:00","03/19/2018","11:28:00","","Data Science Programs at the University of Waterloo","AMT 100","FALSE"
"83","Talk 83","03/20/2018","15:30:00","03/20/2018","15:50:00","","Deflation Risk and Implications for Life Insurers","AMT 101","FALSE"
"84","Talk 84","03/20/2018","14:30:00","03/20/2018","14:50:00","","Dependent Models for the Duration and Size of BC Fires","AMT 100","FALSE"
"85","Talk 85","03/18/2018","09:22:00","03/18/2018","09:43:00","","Design and Relative Efficiency of Tracing Studies in Cohorts with Loss to Followup","ART 163","FALSE"
"86","Talk 86","03/18/2018","09:01:00","03/18/2018","09:22:00","","Designing and Launching a Professional Master’s Program in Data Science: Tales from the UBC Experience","SCI 333","FALSE"
"87","Talk 87","03/20/2018","13:30:00","03/20/2018","13:50:00","","Detecting Adverse Drug Effects from Pharmacovigilance Databases","ART 163","FALSE"
"88","Talk 88","03/19/2018","14:14:00","03/19/2018","14:36:00","","Development of Quality Assurance Program for Jaundice Meter Management","SCI 124","FALSE"
"89","Talk 89","03/18/2018","09:01:00","03/18/2018","09:22:00","","Disclosure Control and Random Tabular Adjustment","ART 163","FALSE"
"90","Talk 90","03/19/2018","14:14:00","03/19/2018","14:36:00","","Discordance in Hormone Receptor Status Between Two Primary Breast Cancers: The Impact of Misclassification","AMT 102","FALSE"
"91","Talk 91","03/19/2018","12:00:00","03/20/2018","17:00:00","","Discriminant Analysis for Longitudinal Data","EME 201","FALSE"
"92","Talk 92","03/18/2018","14:14:00","03/18/2018","14:36:00","","DM-PhyClus: A Bayesian Phylogenetic Clustering Algorithm Incorporating Dirichlet-Multinomial Priors","AMT 100","FALSE"
"93","Talk 93","03/20/2018","13:50:00","03/20/2018","14:10:00","","Dynamic Treatment Regimes via Reward Ignorant Modelling","ASC 165","FALSE"
"94","Talk 94","03/19/2018","10:25:00","03/19/2018","10:46:00","","Educreations: Video Tools for Statistical Teaching","AMT 100","FALSE"
"95","Talk 95","03/19/2018","09:22:00","03/19/2018","09:43:00","","Effectiveness of Gamification Feature in Introductory Statistics Course","AMT 100","FALSE"
"96","Talk 96","03/19/2018","13:52:00","03/19/2018","14:14:00","","Efficient Conversion Probability Estimator for Display Advertising","AMT 100","FALSE"
"97","Talk 97","03/18/2018","09:01:00","03/18/2018","09:22:00","","Efficiently Computing the Projection Median in $R^3$","AMT 100","FALSE"
"98","Talk 98","03/18/2018","13:52:00","03/18/2018","14:14:00","","Empirical Eigenvalue Based Testing for Structural Breaks in Linear Factor Models","AMT 100","FALSE"
"99","Talk 99","03/18/2018","10:25:00","03/18/2018","10:46:00","","Empirical Likelihood and Semiparametric Inference with Survey Data","AMT 102","FALSE"
"100","Talk 100","03/18/2018","10:46:00","03/18/2018","11:07:00","","Empirical Likelihood Multiscale Inference of the Scaling Property of Time Series Models","ASC 165","FALSE"
"101","Talk 101","03/18/2018","10:04:00","03/18/2018","10:25:00","","Ergodicity and Approximation of the Conditional Causation Probability of Engineering Systems","ART 163","FALSE"
"102","Talk 102","03/19/2018","12:00:00","03/20/2018","17:00:00","","Estimating a Disease Prevalence with Group Testing Data and Imperfect Assays","EME 201","FALSE"
"103","Talk 103","03/19/2018","09:01:00","03/19/2018","09:22:00","","Estimating Cross-validatory Predictive P-values with Integrated Importance Sampling for Disease Mapping Models","SCI 333","FALSE"
"104","Talk 104","03/18/2018","14:14:00","03/18/2018","14:36:00","","Estimating the Population Size of Greater Victoria’s Injection Drug Users using Capture-Recapture Methods","ART 163","FALSE"
"105","Talk 105","03/19/2018","16:36:00","03/19/2018","16:58:00","","Estimation and Classification for Finite Mixture Models with Order Statistics","AMT 101","FALSE"
"106","Talk 106","03/20/2018","14:30:00","03/20/2018","14:50:00","","Estimation and Identification of Varying-Coefficient Additive Models for Locally Stationary Process","ART 163","FALSE"
"107","Talk 107","03/20/2018","09:01:00","03/20/2018","09:22:00","","Estimation and Inference in Directional Mixed Models for Compositional Data","ART 163","FALSE"
"108","Talk 108","03/18/2018","14:14:00","03/18/2018","14:36:00","","Estimation in Model Selection after Imputation","SCI 124","FALSE"
"109","Talk 109","03/18/2018","09:22:00","03/18/2018","09:43:00","","Estimation Strategies for Weighted Least Absolute Deviations Regression Models","SCI 124","FALSE"
"110","Talk 110","03/19/2018","10:46:00","03/19/2018","11:07:00","","Event History Analysis of Data from Non-Ignorable Observation Schemes","AMT 100","FALSE"
"111","Talk 111","03/19/2018","13:52:00","03/19/2018","14:14:00","","Expanding the Predictive Ability of an Interpretable Tree","SCI 124","FALSE"
"112","Talk 112","03/19/2018","09:01:00","03/19/2018","09:22:00","","Factor Copula Analysis for Multivariate Ordinal Data","SCI 124","FALSE"
"113","Talk 113","03/18/2018","09:01:00","03/18/2018","09:22:00","","Feature Selection Methods for the Development of Case Definitions for Common Chronic Conditions in Primary Care Electronic Medical Record Data","AMT 101","FALSE"
"114","Talk 114","03/19/2018","09:01:00","03/19/2018","09:22:00","","Flipping the Online Learning Environment","AMT 100","FALSE"
"115","Talk 115","03/18/2018","14:14:00","03/18/2018","14:36:00","","Foldover Designs with Column Permutations","AMT 101","FALSE"
"116","Talk 116","03/20/2018","13:30:00","03/20/2018","13:50:00","","From Brain to Hand to Statistics with Dynamic Smoothing","ASC 165","FALSE"
"117","Talk 117","03/19/2018","14:14:00","03/19/2018","14:36:00","","Full-Range Tail Dependence Copulas","ASC 165","FALSE"
"118","Talk 118","03/19/2018","13:30:00","03/19/2018","13:52:00","","Functional Central Limit Theorems for Self-Normalized Processes with Statistical Applications","ART 163","FALSE"
"119","Talk 119","03/20/2018","09:43:00","03/20/2018","10:04:00","","G-estimation and Model Selection for Dynamic Treatment Regimes","AMT 100","FALSE"
"120","Talk 120","03/20/2018","09:22:00","03/20/2018","09:43:00","","Gene Set Enrichment Analysis in Longitudinal Studies","AMT 101","FALSE"
"121","Talk 121","03/19/2018","10:46:00","03/19/2018","11:07:00","","Generalized Bent-Cable Regression for Changepoint Data","AMT 101","FALSE"
"122","Talk 122","03/18/2018","16:36:00","03/18/2018","16:58:00","","Generalized Simulated Method-of-Moments for Copula Parameters of Arbitrary Dimension","AMT 101","FALSE"
"123","Talk 123","03/20/2018","14:10:00","03/20/2018","14:30:00","","Generative Mixture of Networks","AMT 102","FALSE"
"124","Talk 124","03/19/2018","12:00:00","03/20/2018","17:00:00","","Genetic Risk Prediction for Type X Colorectal Cancer Families","EME 201","FALSE"
"125","Talk 125","03/20/2018","13:50:00","03/20/2018","14:10:00","","Geo-Dependent Individual-Level Models for Infectious Diseases Transmission","AMT 100","FALSE"
"126","Talk 126","03/19/2018","09:01:00","03/19/2018","09:22:00","","Geographic Topic Modelling to Predict Regional Beer Success","ART 163","FALSE"
"127","Talk 127","03/18/2018","13:30:00","03/18/2018","13:52:00","","Geostatistical Inference under Preferential Sampling","ART 163","FALSE"
"128","Talk 128","03/18/2018","14:36:00","03/18/2018","14:58:00","","Good Deal Indices in Asset Pricing: Actuarial and Financial Implications","ASC 165","FALSE"
"129","Talk 129","03/20/2018","13:30:00","03/20/2018","13:50:00","","Gosset at Guinness: How ‘Student’ Derived (and Checked) the Distribution of his z-statistic","SCI 333","FALSE"
"130","Talk 130","03/18/2018","09:01:00","03/18/2018","09:22:00","","Group Variable Selection for Recurrent Event Data","AMT 102","FALSE"
"131","Talk 131","03/19/2018","13:30:00","03/19/2018","13:52:00","","Hierarchical Models for Combining N-of-1 Trials","AMT 101","FALSE"
"132","Talk 132","03/19/2018","12:00:00","03/20/2018","17:00:00","","High Dimensional Clustering: tHDDC","EME 201","FALSE"
"133","Talk 133","03/19/2018","10:04:00","03/19/2018","10:25:00","","How Best to Bridge the Gap between Statistics and Medical Practice","SCI 333","FALSE"
"134","Talk 134","03/18/2018","10:25:00","03/18/2018","10:46:00","","How the Design of the New Zealand Health Survey Contributes to Informed Decision Making in Public Health Policy","AMT 101","FALSE"
"135","Talk 135","03/20/2018","14:30:00","03/20/2018","14:50:00","","How to Brew your Beer Tour with Data Science","AMT 102","FALSE"
"136","Talk 136","03/18/2018","15:30:00","03/18/2018","15:52:00","","How to tell when Association might be Causation","EME 100","FALSE"
"137","Talk 137","03/20/2018","11:28:00","03/20/2018","11:49:00","","Identifying Expression Quantitative Trait Loci in Genome-Wide Association Studies using Matrix eQTL","AMT 102","FALSE"
"138","Talk 138","03/19/2018","15:30:00","03/19/2018","15:52:00","","Importance Sampling Techniques for Single Index Models","SCI 124","FALSE"
"139","Talk 139","03/18/2018","14:14:00","03/18/2018","14:36:00","","Improved Estimation and Identification of Block-Exchangeable Dependence Structures","SCI 333","FALSE"
"140","Talk 140","03/18/2018","15:30:00","03/18/2018","15:52:00","","Improved Global Minimum Variance Portfolio via a Dominant Eigenvalue Shrinkage","ASC 165","FALSE"
"141","Talk 141","03/20/2018","09:43:00","03/20/2018","10:04:00","","Improving Risk Assessment using Market Expectations and Information from Model Risks","SCI 124","FALSE"
"142","Talk 142","03/19/2018","15:30:00","03/19/2018","15:52:00","","Incorporating Auxiliary Information by Joint Modelling of Pseudo Data and Length Biased Data","AMT 102","FALSE"
"143","Talk 143","03/20/2018","13:50:00","03/20/2018","14:10:00","","Incorporating Contact Network Uncertainty in Individual-Level Models of Infectious Disease using Approximate Bayesian Computation","ART 163","FALSE"
"144","Talk 144","03/18/2018","14:36:00","03/18/2018","14:58:00","","Incorporating Medians in Meta-Analysis","SCI 124","FALSE"
"145","Talk 145","03/19/2018","09:22:00","03/19/2018","09:43:00","","Incorporating Simulation-Based Inference in an Introductory Statistics Course","ASC 165","FALSE"
"146","Talk 146","03/20/2018","10:25:00","03/20/2018","10:46:00","","Individual Level Modelling of Infectious Disease Data: EpiILM","ART 163","FALSE"
"147","Talk 147","03/19/2018","13:52:00","03/19/2018","14:14:00","","Industrial Quality Improvement Workshops and Applications","EME 100","FALSE"
"148","Talk 148","03/20/2018","09:22:00","03/20/2018","09:43:00","","Inference from Survival Data using Imprecise Probabilities","ART 163","FALSE"
"149","Talk 149","03/20/2018","14:10:00","03/20/2018","14:30:00","","Innovations in Sampling for Insecure and Data-Poor Environments","SCI 333","FALSE"
"150","Talk 150","03/19/2018","09:22:00","03/19/2018","09:43:00","","Investigating the Impact of Design Characteristics on Statistical Efficiency within Discrete Choice Experiments: A Systematic Survey","EME 100","FALSE"
"151","Talk 151","03/19/2018","10:25:00","03/19/2018","10:46:00","","Is All That Coffee I’m Drinking Hurting or Harming Me? Understanding Causality","ASC 165","FALSE"
"152","Talk 152","03/20/2018","10:46:00","03/20/2018","11:07:00","","Issues with Inference in Adaptive Optimal Design","AMT 100","FALSE"
"153","Talk 153","03/20/2018","09:01:00","03/20/2018","09:22:00","","Job Vacancy and Wage Survey: Balancing Sampling and Operational Requirements using the Cube Method","SCI 333","FALSE"
"154","Talk 154","03/18/2018","09:22:00","03/18/2018","09:43:00","","Joint Analysis of a Longitudinal Binary Outcome and Recurrent Events with Application to Cystic Fibrosis Outcomes","AMT 102","FALSE"
"155","Talk 155","03/18/2018","09:43:00","03/18/2018","10:04:00","","Joint Analysis of Longitudinal Zero-heavy Panel Count Outcomes with Application to Understanding Desistance from Criminal Activity","SCI 333","FALSE"
"156","Talk 156","03/18/2018","11:07:00","03/18/2018","11:28:00","","Joint Modeling of Longitudinal Proportional Measurements and Survival Times with a Cure Fraction","AMT 100","FALSE"
"157","Talk 157","03/20/2018","10:46:00","03/20/2018","11:07:00","","Joint Modelling of Count, Continuous and Semi-Continuous Longitudinal Data","ASC 165","FALSE"
"158","Talk 158","03/19/2018","16:14:00","03/19/2018","16:36:00","","Kernel-Based Causal Inference","ASC 165","FALSE"
"159","Talk 159","03/18/2018","11:28:00","03/18/2018","11:49:00","","Left-Truncated and Right-Censored Survival Data Analysis with Covariate Measurement Error","AMT 100","FALSE"
"160","Talk 160","03/19/2018","12:00:00","03/20/2018","17:00:00","","Local Influence Analysis of a State-Space Fish Stock Assessment Model Compared to Conventional Modelling Approaches","EME 201","FALSE"
"161","Talk 161","03/20/2018","15:10:00","03/20/2018","15:30:00","","Localized Quantile Regression of Realized Volatility","AMT 101","FALSE"
"162","Talk 162","03/19/2018","14:14:00","03/19/2018","14:36:00","","Mapping Complex Traits, Rare Variants and Interaction via the Coalescent Process with Recombination ","AMT 101","FALSE"
"163","Talk 163","03/18/2018","15:52:00","03/18/2018","16:14:00","","Matrix Linear Discriminant Analysis","SCI 124","FALSE"
"164","Talk 164","03/19/2018","09:01:00","03/19/2018","09:22:00","","Maximum Likelihood Estimation of Marine Predators' Diet Proportions","EME 100","FALSE"
"165","Talk 165","03/19/2018","14:36:00","03/19/2018","14:58:00","","Measurement and Association Testing of 5-hydroxymethylcytosine (5hmC) Methylation","AMT 101","FALSE"
"166","Talk 166","03/18/2018","09:43:00","03/18/2018","10:04:00","","Measuring Cash and Payment Card Usage at the Point-of-Sale for Consumers and Merchants","AMT 101","FALSE"
"167","Talk 167","03/18/2018","11:07:00","03/18/2018","11:28:00","","Methods of Selecting a Person within a Household: Mailed Invitations for an Electronic Questionnaire","AMT 101","FALSE"
"168","Talk 168","03/19/2018","16:36:00","03/19/2018","16:58:00","","Minimum Profile Hellinger Distance Estimation for Two-Class Location Models","AMT 102","FALSE"
"169","Talk 169","03/18/2018","10:46:00","03/18/2018","11:07:00","","Missing Data Mechanisms for Incomplete Longitudinal Observations in both Responses and Covariates","AMT 100","FALSE"
"170","Talk 170","03/19/2018","12:00:00","03/20/2018","17:00:00","","Mixture Model Averaging for Clustering","EME 201","FALSE"
"171","Talk 171","03/20/2018","14:50:00","03/20/2018","15:10:00","","Mode Detection in a Non-Stationary Environment","AMT 101","FALSE"
"172","Talk 172","03/20/2018","09:01:00","03/20/2018","09:22:00","","Model-Robust Designs for Generalized Linear Mixed Models with Possible Misspecification","ASC 165","FALSE"
"173","Talk 173","03/19/2018","12:00:00","03/20/2018","17:00:00","","Modeling and Treatment of Surveillance Flu Data","EME 201","FALSE"
"174","Talk 174","03/19/2018","16:14:00","03/19/2018","16:36:00","","Modeling Recurrent Gap times Through Conditional GEE","SCI 124","FALSE"
"175","Talk 175","03/18/2018","13:52:00","03/18/2018","14:14:00","","Modeling T-cell Trajectory Data using Hidden Markov Models","AMT 101","FALSE"
"176","Talk 176","03/19/2018","15:30:00","03/19/2018","15:52:00","","Modeling the Random Effects Covariance Matrix for Longitudinal Data with Covariate Measurement Error","ART 163","FALSE"
"177","Talk 177","03/20/2018","14:10:00","03/20/2018","14:30:00","","Modelling Bivariate Count Time Series with Extra Zeros","SCI 124","FALSE"
"178","Talk 178","03/19/2018","09:22:00","03/19/2018","09:43:00","","Modelling Multi-Population Mortality Dependence with a Regime-Switching Copula","AMT 101","FALSE"
"179","Talk 179","03/19/2018","12:00:00","03/20/2018","17:00:00","","Modelling the Effects of Memory on Bumblebee Pollination Services","EME 201","FALSE"
