"","Abstract","class","Cluster","Flags","StartTime","EndTime"
"50","A Multi-State Model for a Life Insurance Product with Integrated Health Rewards Program",2,2,"Invited",2018-03-18 11:28:00,2018-03-18 11:49:00
"51","SimRVPedigree: An R Package to Simulate Pedigrees Ascertained for Multiple Relatives Affected by a Rare Disease",3,31,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"52","Multivariate Response-Dependent Two-Phase Sampling Designs",4,32,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"53","Model-Robust Designs for Generalized Linear Mixed Models with Possible Misspecification",1,4,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"54","Properties of Risk Measures Inspired from the Ruin Probability, the Deficit at Ruin, and the Time of Ruin",2,2,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"55","Outlier Robust Estimation of the Total Private Cost of Payment Methods for Large Businesses",3,31,"Contributed",2018-03-18 13:30:00,2018-03-18 13:52:00
"56","Modelling Bivariate Count Time Series with Extra Zeros",4,32,"Contributed",2018-03-18 13:30:00,2018-03-18 13:52:00
"57","The Silicon Valley Wage Cartel: Understanding its Effects on the Regional Labour Market with Dynamic Networks",5,26,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"58","A Self-Selecting Procedure for the Optimal Discretization of the Timeline for Longitudinal Causal Inference Methods with Electronic Health Data",6,9,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
"59","Analysis of Cluster-Randomized Trials with a Longitudinal Outcome Subject to Irregular Observation",7,11,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
"60","Combining Multiple Samples through Density Ratio Models for More Efficient Estimation",8,30,"Contributed",2018-03-18 13:30:00,2018-03-18 13:52:00
"61","The Power of Simple Statistical Techniques in the Era of Big and Complex Data: Some Recent Examples from Genetic Association Studies",1,4,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"62","DM-PhyClus: A Bayesian Phylogenetic Clustering Algorithm Incorporating Dirichlet-Multinomial Priors",2,2,"Contributed",2018-03-18 13:52:00,2018-03-18 14:14:00
"63","Incorporating Medians in Meta-Analysis",3,31,"Contributed",2018-03-18 13:52:00,2018-03-18 14:14:00
"64","Quantile Regression with Nominated Samples",5,26,"Contributed",2018-03-18 13:52:00,2018-03-18 14:14:00
"65","Feature Selection Methods for the Development of Case Definitions for Common Chronic Conditions in Primary Care Electronic Medical Record Data",6,9,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"66","From Brain to Hand to Statistics with Dynamic Smoothing",7,11,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"67","Event History Analysis of Data from Non-Ignorable Observation Schemes",1,4,"Invited",2018-03-18 14:14:00,2018-03-18 14:36:00
"68","Use of the Segmented Regression Analysis Approach to Adjust for Potential Confounders and Effect Modifiers when Evaluating Public Health Interventions",2,2,"Contributed",2018-03-18 14:14:00,2018-03-18 14:36:00
"69","A Unified Empirical Likelihood Approach to Testing MCAR and Subsequent Estimation",3,31,"Contributed",2018-03-18 14:14:00,2018-03-18 14:36:00
"70","Strong Heredity Penalized Regression Models for Non-Linear Gene-Environment Interactions",5,26,"Contributed",2018-03-18 14:14:00,2018-03-18 14:36:00
"71","G-estimation and Model Selection for Dynamic Treatment Regimes",6,9,"Invited",2018-03-18 14:14:00,2018-03-18 14:36:00
"72","Is All That Coffee I’m Drinking Hurting or Harming Me? Understanding Causality",7,11,"Invited",2018-03-18 14:14:00,2018-03-18 14:36:00
"73","Simplified Variance Estimation in Surveys",1,4,"Invited",2018-03-18 14:36:00,2018-03-18 14:58:00
"74","Development of Quality Assurance Program for Jaundice Meter Management",2,2,"Contributed",2018-03-18 14:36:00,2018-03-18 14:58:00
"75","Calibration of Measurements: An Extension of Classic Measurement Error Theory",5,26,"Contributed",2018-03-18 14:36:00,2018-03-18 14:58:00
"76","Dynamic Treatment Regimes via Reward Ignorant Modelling",6,9,"Invited",2018-03-18 14:36:00,2018-03-18 14:58:00
"77","Spatio-Temporal Noise Models for the Analysis of Functional Magnetic Resonance Imaging Data",7,11,"Invited",2018-03-18 14:36:00,2018-03-18 14:58:00
"78","Missing Data Mechanisms for Incomplete Longitudinal Observations in both Responses and Covariates",1,4,"Invited",2018-03-18 15:30:00,2018-03-18 15:52:00
"79","Generalized Bent-Cable Regression for Changepoint Data",2,2,"Contributed",2018-03-18 15:30:00,2018-03-18 15:52:00
"80","A Relational Model for Predicting Farm-Level Crop Yield Distributions in the Absence of Farm-Level Data",3,29,"Student",2018-03-18 15:30:00,2018-03-18 15:52:00
"81","Detecting Adverse Drug Effects from Pharmacovigilance Databases",4,6,"Student",2018-03-18 15:30:00,2018-03-18 15:52:00
"82","On Convergence of Sample Correlation Matrices in High-Dimensional Data",5,26,"Contributed",2018-03-18 15:30:00,2018-03-18 15:52:00
"83","Generative Mixture of Networks",6,9,"Invited",2018-03-18 15:30:00,2018-03-18 15:52:00
"84","Disclosure Control and Random Tabular Adjustment",7,19,"Student",2018-03-18 15:30:00,2018-03-18 15:52:00
"85","Panel discussion",8,-2,"Invited",2018-03-18 15:30:00,2018-03-18 15:52:00
"86","Achieving Higher Efficiency and Robustness in Longitudinal Studies with Dropout",1,4,"Invited",2018-03-18 15:52:00,2018-03-18 16:14:00
"87","Building a Basketball Analytics Startup as a Statistics Student",2,2,"Contributed",2018-03-18 15:52:00,2018-03-18 16:14:00
"88","Effectiveness of Gamification Feature in Introductory Statistics Course",3,29,"Student",2018-03-18 15:52:00,2018-03-18 16:14:00
"89","Estimation and Inference in Directional Mixed Models for Compositional Data",4,6,"Student",2018-03-18 15:52:00,2018-03-18 16:14:00
"90","Progressively Type-II Censored Competing Risks Data from the Linear Exponential Distribution",5,26,"Contributed",2018-03-18 15:52:00,2018-03-18 16:14:00
"91","Predictive Analytics in Business",7,19,"Invited",2018-03-18 15:52:00,2018-03-18 16:14:00
"92","Industrial Quality Improvement Workshops and Applications",8,-2,"Invited",2018-03-18 15:52:00,2018-03-18 16:14:00
"93","Spatial Modeling of Repeated Events: An Application to Disease Mapping",1,4,"Contributed",2018-03-18 16:14:00,2018-03-18 16:36:00
"94","Statistical Modelling of Carbon Dioxide Flux Data",2,2,"Contributed",2018-03-18 16:14:00,2018-03-18 16:36:00
"95","Validation of Codes and Algorithms are an Essential Part of Research Using Routinely Collected Health Data",3,29,"Invited",2018-03-18 16:14:00,2018-03-18 16:36:00
"96","Predictive Mean Matching Imputation in Survey Sampling",4,6,"Invited",2018-03-18 16:14:00,2018-03-18 16:36:00
"97","Dependent Models for the Duration and Size of BC Fires",5,26,"Contributed",2018-03-18 16:14:00,2018-03-18 16:36:00
"98","Self-Normalized Weak and Strong Functional Limit Laws in the Domain of Attraction of Stable Laws",7,19,"Invited",2018-03-18 16:14:00,2018-03-18 16:36:00
"99","Panel discussion",8,-2,"Invited",2018-03-18 16:14:00,2018-03-18 16:36:00
"100","Empirical Eigenvalue Based Testing for Structural Breaks in Linear Factor Models",1,4,"Contributed",2018-03-18 16:36:00,2018-03-18 16:58:00
"101","On the Moments and the Distribution of Aggregate Discounted Claims in a Markovian Environment",2,2,"Contributed",2018-03-18 16:36:00,2018-03-18 16:58:00
"102","Geographic Topic Modelling to Predict Regional Beer Success",3,29,"Invited",2018-03-18 16:36:00,2018-03-18 16:58:00
"103","On the Bayesian Semi-Parametric Double Robustness Property",4,6,"Invited",2018-03-18 16:36:00,2018-03-18 16:58:00
"104","Superfast Inference for Stationary Gaussian Processes",7,19,"Contributed",2018-03-18 16:36:00,2018-03-18 16:58:00
"105","Panel discussion",8,-2,"Invited",2018-03-18 16:36:00,2018-03-18 16:58:00
"106","Clustering Discrete Valued Time Series",1,-1,"Keynote",2018-03-19 08:40:00,2018-03-19 09:01:00
"107","Non-regular Inference for Dynamic Weighted Ordinary Least Squares: Understanding the Impact of Solid Food Intake in Infancy on Childhood Weight",1,4,"Contributed",2018-03-19 09:01:00,2018-03-19 09:22:00
"108","Change Point Detection in Functional Time Series Models for Yield Curves",2,23,"Student",2018-03-19 09:01:00,2018-03-19 09:22:00
"109","Probability-Scale Residuals for Continuous, Discrete, and Censored Data",3,29,"Invited",2018-03-19 09:01:00,2018-03-19 09:22:00
"110","Combatting Overfitting in Finite Mixture Models",4,6,"Contributed",2018-03-19 09:01:00,2018-03-19 09:22:00
"111","Efficiently Computing the Projection Median in $R^3$",5,36,"Student",2018-03-19 09:01:00,2018-03-19 09:22:00
"112","Group Variable Selection for Recurrent Event Data",6,10,"Student",2018-03-19 09:01:00,2018-03-19 09:22:00
"113","Joint Analysis of Longitudinal Zero-heavy Panel Count Outcomes with Application to Understanding Desistance from Criminal Activity",7,13,"Invited",2018-03-19 09:01:00,2018-03-19 09:22:00
"114","Geo-Dependent Individual-Level Models for Infectious Diseases Transmission",1,4,"Contributed",2018-03-19 09:22:00,2018-03-19 09:43:00
"115","Analysis of Heterogeneous Lifetime Data with Measurement Error in Covariate",2,23,"Student",2018-03-19 09:22:00,2018-03-19 09:43:00
"116","A Hierarchical Credibility Approach to Modeling Mortality Rates for Multiple Populations",3,29,"Invited",2018-03-19 09:22:00,2018-03-19 09:43:00
"117","The Relative Deviation from Predicted Values as a Tool to Prioritize Units for Failed Edit Follow-Up in IBSP",4,6,"Contributed",2018-03-19 09:22:00,2018-03-19 09:43:00
"118","A Combined Estimating Function Approach to Count Data Regression Modeling",5,36,"Invited",2018-03-19 09:22:00,2018-03-19 09:43:00
"119","Statistical Opportunities and Challenges in Multiple-Platform Biomedical Studies",6,10,"Invited",2018-03-19 09:22:00,2018-03-19 09:43:00
"120","A Doubly Robust Estimator for Indirectly Standardized Mortality Ratios",7,13,"Contributed",2018-03-19 09:22:00,2018-03-19 09:43:00
"121","A New Weighted Quantile Regression",1,4,"Contributed",2018-03-19 09:43:00,2018-03-19 10:04:00
"122","Improved Estimation and Identification of Block-Exchangeable Dependence Structures",2,23,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"123","Full-Range Tail Dependence Copulas",3,29,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"124","On Copula-Based Conditional Quantile Estimators",4,6,"Contributed",2018-03-19 09:43:00,2018-03-19 10:04:00
"125","Tree-Based Approaches for Personalized Risk Prediction with Longitudinal Biomarkers: An Application to Fetal Growth",5,36,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"126","Maximum Likelihood Estimation of Marine Predators' Diet Proportions",6,10,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"127","Parametric Spectral Density Estimation in Atomic Force Microscopy",7,13,"Contributed",2018-03-19 09:43:00,2018-03-19 10:04:00
"128","A Nonparametric Test for Detecting Periodicity in Time Series",1,4,"Contributed",2018-03-19 10:04:00,2018-03-19 10:25:00
"129","A More Dynamic Lab Experience: Implementation of Weekly Automated and Teaching Assistant Supported Lab Exercises to Increase Student Engagement through Small-Step Learning",2,23,"Invited",2018-03-19 10:04:00,2018-03-19 10:25:00
"130","Statistical Modelling of Spot Fires in Forest Fire Control",3,29,"Contributed",2018-03-19 10:04:00,2018-03-19 10:25:00
"131","Component Selection and Estimation for Functional Semiparametric Additive Model",4,6,"Contributed",2018-03-19 10:04:00,2018-03-19 10:25:00
"132","Approximation of Squared Integrable Random Variables with Nonlinear Stochastic Integrals",5,36,"Invited",2018-03-19 10:04:00,2018-03-19 10:25:00
"133","How Best to Bridge the Gap between Statistics and Medical Practice",6,10,"Invited",2018-03-19 10:04:00,2018-03-19 10:25:00
"134","Estimation and Classification for Finite Mixture Models with Order Statistics",1,4,"Contributed",2018-03-19 10:25:00,2018-03-19 10:46:00
"135","Clustering of Functional Data using Mixture Model-Based Clustering",2,23,"Contributed",2018-03-19 10:25:00,2018-03-19 10:46:00
"136","The Collection Challenges of the 2016 Reverse Record Check Survey",3,29,"Contributed",2018-03-19 10:25:00,2018-03-19 10:46:00
"137","Reduced-Rank Singular Value Decomposition for Dimension Reduction with High-Dimensional Data",5,36,"Contributed",2018-03-19 10:25:00,2018-03-19 10:46:00
"138","The Family of Chi-square Copulas and Applications in Spatial Statistics",6,10,"Invited",2018-03-19 10:25:00,2018-03-19 10:46:00
"139","Benefits of Transformations in the Analysis of Health Utility Data",1,4,"Contributed",2018-03-19 10:46:00,2018-03-19 11:07:00
"140","Quantile and Expectile Regression for Random Effects Models",2,23,"Contributed",2018-03-19 10:46:00,2018-03-19 11:07:00
"141","Predicting the Unpredictable: Severe Wildfire Risk Prediction in Canada",3,29,"Contributed",2018-03-19 10:46:00,2018-03-19 11:07:00
"142","Improved Global Minimum Variance Portfolio via a Dominant Eigenvalue Shrinkage",5,36,"Contributed",2018-03-19 10:46:00,2018-03-19 11:07:00
"143","Modeling Recurrent Gap times Through Conditional GEE",1,4,"Contributed",2018-03-19 11:07:00,2018-03-19 11:28:00
"144","A Comparison of Mixture Modeling Approaches for Clustering Longitudinal Binary Data",2,23,"Contributed",2018-03-19 11:07:00,2018-03-19 11:28:00
"145","An Extended Compound Symmetry Model for High-dimensional Covariance Matrix Estimation",5,36,"Contributed",2018-03-19 11:07:00,2018-03-19 11:28:00
"146","A Penalized Approach to Estimating Network Changes in the Human Microbiome",2,23,"Contributed",2018-03-19 11:28:00,2018-03-19 11:49:00
"147","A Power Comparison of Robust Tests for Monotone Trend in Recurrent Event Processes",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"148","A Second Chance? - A SoTL Project on Implementing Midterm Corrections in a Large Introductory-Level Statistics Course",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"149","A Time Series Approach for the Underlying Driven Process in Stocks and its Large Sample Theory",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"150","Advanced Regression Models for Automated Valuation Model",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"151","Discriminant Analysis for Longitudinal Data",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"152","Estimating a Disease Prevalence with Group Testing Data and Imperfect Assays",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"153","Genetic Risk Prediction for Type X Colorectal Cancer Families",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"154","High Dimensional Clustering: tHDDC",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"155","Local Influence Analysis of a State-Space Fish Stock Assessment Model Compared to Conventional Modelling Approaches",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"156","Mixture Model Averaging for Clustering",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"157","Modeling and Treatment of Surveillance Flu Data",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"158","Modelling the Effects of Memory on Bumblebee Pollination Services",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"159","On Identifiability of Regression Models with Interactions",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"160","Sensitivity to Model Misspecification of a Von Bertalanffy Growth Model with Measurement Error in Age",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"161","Spatial Mixed Model for Binary Response with an Application to Single Low-Density Lipoprotein Dyslipidemia",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"162","Stop Signal Reaction Time: A New Weighted Frequentist Estimation Method",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"163","Hierarchical Models for Combining N-of-1 Trials",1,1,"Student",2018-03-19 13:30:00,2018-03-19 13:52:00
"164","Causal Inference with Measurement Error in Outcomes: Bias Analysis and Estimation Methods",2,23,"Contributed",2018-03-19 13:30:00,2018-03-19 13:52:00
"165","Functional Central Limit Theorems for Self-Normalized Processes with Statistical Applications",3,8,"Student",2018-03-19 13:30:00,2018-03-19 13:52:00
"166","Accurate Confidence Intervals for Clustered Data and Small Samples",4,22,"Student",2018-03-19 13:30:00,2018-03-19 13:52:00
"167","How to tell when Association might be Causation",5,16,"Invited",2018-03-19 13:30:00,2018-03-19 13:52:00
"168","A Robust Allele-based Regression Framework for Testing Association and Hardy-Weinberg Equilibrium",6,12,"Contributed",2018-03-19 13:30:00,2018-03-19 13:52:00
"169","Measurement and Association Testing of 5-hydroxymethylcytosine (5hmC) Methylation",7,18,"Contributed",2018-03-19 13:30:00,2018-03-19 13:52:00
"170","The Randomized Registry Trial — Opportunities, Challenges and Solutions ",1,1,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"171","Kernel-Based Causal Inference",2,23,"Contributed",2018-03-19 13:52:00,2018-03-19 14:14:00
"172","Observational Analyses of Cluster-Randomized Trials",3,8,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"173","Robust Hierarchical Bayes Small Area Estimation for Nested Error Regression Model",4,22,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"174","Measuring Cash and Payment Card Usage at the Point-of-Sale for Consumers and Merchants",5,16,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"175","Efficient Conversion Probability Estimator for Display Advertising",6,12,"Contributed",2018-03-19 13:52:00,2018-03-19 14:14:00
"176","Box-Cox Time Series",7,18,"Contributed",2018-03-19 13:52:00,2018-03-19 14:14:00
"177","Towards More Reliable Neuroimaging-Based Biomarkers in Mental Illness: The Case of Schizophrenia Discrimination using fMRI Data",1,1,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"178","A Convex Regression Approach to Pickands Dependence Function Estimation",2,23,"Contributed",2018-03-19 14:14:00,2018-03-19 14:36:00
"179","Spatial Quantile Regression Models for High-Dimensional Imaging Data",3,8,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"180","Small Area Estimation with Covariate Measurement Error",4,22,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"181","Automated Homework Generation and Grading with R",5,16,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"182","A Comparison of Association Methods for Fine-Mapping from Sequence Data in Diploid Populations using the Case-Control Study Design",6,12,"Contributed",2018-03-19 14:14:00,2018-03-19 14:36:00
"183","A Latent Gaussian Mixture Model for Longitudinal Data",7,18,"Contributed",2018-03-19 14:14:00,2018-03-19 14:36:00
"184","Bayesian Adaptive Designs for Efficient Drug Development and Precision Oncology",1,1,"Invited",2018-03-19 14:36:00,2018-03-19 14:58:00
"185","Parameter Estimation for PDEs Defined over Irregular Domains",2,23,"Contributed",2018-03-19 14:36:00,2018-03-19 14:58:00
"186","Robust Estimation under Cellwise and Casewise Contamination",3,8,"Invited",2018-03-19 14:36:00,2018-03-19 14:58:00
"187","A Potts Mixture Spatiotemporal Joint Model for Combined MEG and EEG Data",4,22,"Invited",2018-03-19 14:36:00,2018-03-19 14:58:00
"188","Self-Normalized Partial Sums of Randomly Weighted Data",5,16,"Invited",2018-03-19 14:36:00,2018-03-19 14:58:00
"189","Piecewise Linear Quantile Regression for Estimation of Ecological Breakpoints",6,12,"Contributed",2018-03-19 14:36:00,2018-03-19 14:58:00
"190","An Ancestral Tree-Based Approach to Detect Rare and Common Variants",1,1,"Invited",2018-03-19 15:30:00,2018-03-19 15:52:00
"191","Analysis of Recurrent Events Data Based on Trend-Renewal Process",2,23,"Contributed",2018-03-19 15:30:00,2018-03-19 15:52:00
"192","Statistical Methodology on Human Microbiome Data Analysis",3,8,"Invited",2018-03-19 15:30:00,2018-03-19 15:52:00
"193","Stochastic Correlation and Regulatory Capital",4,22,"Invited",2018-03-19 15:30:00,2018-03-19 15:52:00
"194","Data Science Programs at the University of Waterloo",5,16,"Invited",2018-03-19 15:30:00,2018-03-19 15:52:00
"195","Computational Neuroscience: A Romance of Many Disciplines",6,12,"Contributed",2018-03-19 15:30:00,2018-03-19 15:52:00
"196","Robust Small Area Estimation in Generalized Linear Models",7,33,"Invited",2018-03-19 15:30:00,2018-03-19 15:52:00
"197","Some Asymptotic Results on Tree-based Survival Models",1,1,"Invited",2018-03-19 15:52:00,2018-03-19 16:14:00
"198","Joint Modelling of Count, Continuous and Semi-Continuous Longitudinal Data",2,23,"Contributed",2018-03-19 15:52:00,2018-03-19 16:14:00
"199","Adaptive Functional Regression with Manifold Structures",3,8,"Invited",2018-03-19 15:52:00,2018-03-19 16:14:00
"200","A Bayesian Approach for Pattern Detection in Extremely Small Sample Sizes: Application to Proteomic Cell Line Data of Human Leukemia",4,22,"Contributed",2018-03-19 15:52:00,2018-03-19 16:14:00
"201","Motivating Introductory Statistics",5,16,"Contributed",2018-03-19 15:52:00,2018-03-19 16:14:00
"202","Robust Mixture Discriminant Analysis",7,33,"Contributed",2018-03-19 15:52:00,2018-03-19 16:14:00
"203","Statistical Methods for Synthesizing Evidence from Explanatory and Pragmatic trials",1,1,"Invited",2018-03-19 16:14:00,2018-03-19 16:36:00
"204","Issues with Inference in Adaptive Optimal Design",3,8,"Invited",2018-03-19 16:14:00,2018-03-19 16:36:00
"205","Modeling the Random Effects Covariance Matrix for Longitudinal Data with Covariate Measurement Error",4,22,"Contributed",2018-03-19 16:14:00,2018-03-19 16:36:00
"206","Tail Empirical Processes for Stochastic Volatility Models",7,33,"Contributed",2018-03-19 16:14:00,2018-03-19 16:36:00
