"","Abstract","class","Cluster","Flags","StartTime","EndTime"
"85","How to tell when Association might be Causation",8,14,"Invited",2018-03-18 15:30:00,2018-03-18 15:52:00
"86","A Penalized Approach to Estimating Network Changes in the Human Microbiome",1,6,"Contributed",2018-03-18 15:52:00,2018-03-18 16:14:00
"87","Aggregate Claim Analysis in a Two-sided Exit Setting with Dependence",2,43,"Invited",2018-03-18 15:52:00,2018-03-18 16:14:00
"88","A Simple Variance Control Chart with Double Sampling Scheme",3,1,"Invited",2018-03-18 15:52:00,2018-03-18 16:14:00
"89","Constrained Mean-Variance Portfolio in a Market with Stochastic Volatility",4,36,"Contributed",2018-03-18 15:52:00,2018-03-18 16:14:00
"90","Matrix Linear Discriminant Analysis",7,34,"Invited",2018-03-18 15:52:00,2018-03-18 16:14:00
"91","Some Experiences From an Industry Collaboration",8,14,"Invited",2018-03-18 15:52:00,2018-03-18 16:14:00
"92","A Convex Regression Approach to Pickands Dependence Function Estimation",1,6,"Contributed",2018-03-18 16:14:00,2018-03-18 16:36:00
"93","Vine Copula Regression",2,43,"Invited",2018-03-18 16:14:00,2018-03-18 16:36:00
"94","The Challenge of Creating Data Collection Methods that are Neither Too Far Ahead nor Behind our Survey Respondents",3,1,"Invited",2018-03-18 16:14:00,2018-03-18 16:36:00
"95","Outlier Robust Estimation of the Total Private Cost of Payment Methods for Large Businesses",4,36,"Contributed",2018-03-18 16:14:00,2018-03-18 16:36:00
"96","Robust Discrimination Designs over Hellinger Neighbourhoods",7,34,"Contributed",2018-03-18 16:14:00,2018-03-18 16:36:00
"97","Progressively Type-II Censored Competing Risks Data from the Linear Exponential Distribution",1,6,"Contributed",2018-03-18 16:36:00,2018-03-18 16:58:00
"98","Generalized Simulated Method-of-Moments for Copula Parameters of Arbitrary Dimension",2,43,"Invited",2018-03-18 16:36:00,2018-03-18 16:58:00
"99","Challenges and Strategies for Inference on a Stochastic Multi-Pathogen Model of Disease Dynamics in San Luis Potosi, Mexico ",3,1,"Invited",2018-03-18 16:36:00,2018-03-18 16:58:00
"100","On the Moments and the Distribution of Aggregate Discounted Claims in a Markovian Environment",4,36,"Contributed",2018-03-18 16:36:00,2018-03-18 16:58:00
"101","The Relative Deviation from Predicted Values as a Tool to Prioritize Units for Failed Edit Follow-Up in IBSP",7,34,"Contributed",2018-03-18 16:36:00,2018-03-18 16:58:00
"102","Clustering Discrete Valued Time Series",1,-1,"Keynote",2018-03-19 08:40:00,2018-03-19 09:01:00
"103","Flipping the Online Learning Environment",1,16,"Student",2018-03-19 09:01:00,2018-03-19 09:22:00
"104","Approximation of Squared Integrable Random Variables with Nonlinear Stochastic Integrals",2,43,"Invited",2018-03-19 09:01:00,2018-03-19 09:22:00
"105","Simple Measures of Individual Cluster-Membership Certainty for Hard Partitional Clustering",3,1,"Contributed",2018-03-19 09:01:00,2018-03-19 09:22:00
"106","The Randomized Registry Trial — Opportunities, Challenges and Solutions ",4,15,"Invited",2018-03-19 09:01:00,2018-03-19 09:22:00
"107","Geographic Topic Modelling to Predict Regional Beer Success",5,19,"Invited",2018-03-19 09:01:00,2018-03-19 09:22:00
"108","Estimating Cross-validatory Predictive P-values with Integrated Importance Sampling for Disease Mapping Models",6,9,"Invited",2018-03-19 09:01:00,2018-03-19 09:22:00
"109","Factor Copula Analysis for Multivariate Ordinal Data",7,8,"Student",2018-03-19 09:01:00,2018-03-19 09:22:00
"110","Maximum Likelihood Estimation of Marine Predators' Diet Proportions",8,21,"Invited",2018-03-19 09:01:00,2018-03-19 09:22:00
"111","Effectiveness of Gamification Feature in Introductory Statistics Course",1,16,"Student",2018-03-19 09:22:00,2018-03-19 09:43:00
"112","Modelling Multi-Population Mortality Dependence with a Regime-Switching Copula",2,43,"Invited",2018-03-19 09:22:00,2018-03-19 09:43:00
"113","On Convergence of Sample Correlation Matrices in High-Dimensional Data",3,1,"Contributed",2018-03-19 09:22:00,2018-03-19 09:43:00
"114","Incorporating Simulation-Based Inference in an Introductory Statistics Course",4,15,"Invited",2018-03-19 09:22:00,2018-03-19 09:43:00
"115","Risk Classification and Prediction with Administrative Health Data",5,19,"Invited",2018-03-19 09:22:00,2018-03-19 09:43:00
"116","On Total Dividends under a Threshold Strategy",6,9,"Invited",2018-03-19 09:22:00,2018-03-19 09:43:00
"117","Properties of Risk Measures Inspired from the Ruin Probability, the Deficit at Ruin, and the Time of Ruin",7,8,"Invited",2018-03-19 09:22:00,2018-03-19 09:43:00
"118","Investigating the Impact of Design Characteristics on Statistical Efficiency within Discrete Choice Experiments: A Systematic Survey",8,21,"Contributed",2018-03-19 09:22:00,2018-03-19 09:43:00
"119","Automated Homework Generation and Grading with R",1,16,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"120","A Multi-State Model for a Life Insurance Product with Integrated Health Rewards Program",2,43,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"121","A Longitudinal Linear Mixed Effect Model for Bivariate Responses with Measurement Errors and Misclassification in Covariates",3,1,"Contributed",2018-03-19 09:43:00,2018-03-19 10:04:00
"122","Statistical Methodology on Human Microbiome Data Analysis",4,15,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"123","Small Area Estimation with Covariate Measurement Error",5,19,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"124","The Silicon Valley Wage Cartel: Understanding its Effects on the Regional Labour Market with Dynamic Networks",6,9,"Invited",2018-03-19 09:43:00,2018-03-19 10:04:00
"125","Building a Basketball Analytics Startup as a Statistics Student",7,8,"Contributed",2018-03-19 09:43:00,2018-03-19 10:04:00
"126","Comparing Bayesian External and Internal Validation Methods in Correcting Outcome Misclassification Bias in Logistic Regression",1,16,"Invited",2018-03-19 10:04:00,2018-03-19 10:25:00
"127","Strong Heredity Penalized Regression Models for Non-Linear Gene-Environment Interactions",2,43,"Contributed",2018-03-19 10:04:00,2018-03-19 10:25:00
"128","An Extended Compound Symmetry Model for High-dimensional Covariance Matrix Estimation",3,1,"Contributed",2018-03-19 10:04:00,2018-03-19 10:25:00
"129","Statistical Disclosure Control for Statistical Outputs: Where Do We Go From Here?",4,15,"Invited",2018-03-19 10:04:00,2018-03-19 10:25:00
"130","Strategies to Handle Missing Binary Outcomes in Cluster Randomized Trials",5,19,"Invited",2018-03-19 10:04:00,2018-03-19 10:25:00
"131","How Best to Bridge the Gap between Statistics and Medical Practice",6,9,"Invited",2018-03-19 10:04:00,2018-03-19 10:25:00
"132","Educreations: Video Tools for Statistical Teaching",1,16,"Invited",2018-03-19 10:25:00,2018-03-19 10:46:00
"133","A Bayesian Approach for Pattern Detection in Extremely Small Sample Sizes: Application to Proteomic Cell Line Data of Human Leukemia",2,43,"Contributed",2018-03-19 10:25:00,2018-03-19 10:46:00
"134","Is All That Coffee I’m Drinking Hurting or Harming Me? Understanding Causality",4,15,"Invited",2018-03-19 10:25:00,2018-03-19 10:46:00
"135","Should a Propensity Score be Super? A Comparison of Estimation Methods",5,19,"Contributed",2018-03-19 10:25:00,2018-03-19 10:46:00
"136","Event History Analysis of Data from Non-Ignorable Observation Schemes",1,16,"Invited",2018-03-19 10:46:00,2018-03-19 11:07:00
"137","Generalized Bent-Cable Regression for Changepoint Data",2,43,"Contributed",2018-03-19 10:46:00,2018-03-19 11:07:00
"138","Probability-Scale Residuals for Continuous, Discrete, and Censored Data",4,15,"Invited",2018-03-19 10:46:00,2018-03-19 11:07:00
"139","Data Science Programs at the University of Waterloo",1,16,"Invited",2018-03-19 11:07:00,2018-03-19 11:28:00
"140","Reduced-Rank Singular Value Decomposition for Dimension Reduction with High-Dimensional Data",2,43,"Contributed",2018-03-19 11:07:00,2018-03-19 11:28:00
"141","What is Synthetic about Synthetic Datasets?",4,15,"Invited",2018-03-19 11:07:00,2018-03-19 11:28:00
"142","Reflections on Interactions with Industry",1,16,"Invited",2018-03-19 11:28:00,2018-03-19 11:49:00
"143","A Power Comparison of Robust Tests for Monotone Trend in Recurrent Event Processes",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"144","A Second Chance? - A SoTL Project on Implementing Midterm Corrections in a Large Introductory-Level Statistics Course",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"145","A Time Series Approach for the Underlying Driven Process in Stocks and its Large Sample Theory",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"146","Advanced Regression Models for Automated Valuation Model",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"147","Discriminant Analysis for Longitudinal Data",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"148","Estimating a Disease Prevalence with Group Testing Data and Imperfect Assays",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"149","Genetic Risk Prediction for Type X Colorectal Cancer Families",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"150","High Dimensional Clustering: tHDDC",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"151","Local Influence Analysis of a State-Space Fish Stock Assessment Model Compared to Conventional Modelling Approaches",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"152","Mixture Model Averaging for Clustering",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"153","Modeling and Treatment of Surveillance Flu Data",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"154","Modelling the Effects of Memory on Bumblebee Pollination Services",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"155","On Identifiability of Regression Models with Interactions",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"156","Sensitivity to Model Misspecification of a Von Bertalanffy Growth Model with Measurement Error in Age",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"157","Spatial Mixed Model for Binary Response with an Application to Single Low-Density Lipoprotein Dyslipidemia",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"158","Stop Signal Reaction Time: A New Weighted Frequentist Estimation Method",10,-1,"Poster",2018-03-19 12:00:00,2018-03-19 17:00:00
"159","The Family of Chi-square Copulas and Applications in Spatial Statistics",1,16,"Invited",2018-03-19 13:30:00,2018-03-19 13:52:00
"160","Hierarchical Models for Combining N-of-1 Trials",2,7,"Student",2018-03-19 13:30:00,2018-03-19 13:52:00
"161","A Relational Model for Predicting Farm-Level Crop Yield Distributions in the Absence of Farm-Level Data",3,2,"Student",2018-03-19 13:30:00,2018-03-19 13:52:00
"162","A Bayesian HSROC Model for Network Meta-analysis of Diagnostic Tests",4,17,"Student",2018-03-19 13:30:00,2018-03-19 13:52:00
"163","Functional Central Limit Theorems for Self-Normalized Processes with Statistical Applications",5,25,"Student",2018-03-19 13:30:00,2018-03-19 13:52:00
"164","Spatially Structured Sparseness in Bayesian Spatial Health Modeling",6,10,"Invited",2018-03-19 13:30:00,2018-03-19 13:52:00
"165","Bayesian Adaptive Designs for Efficient Drug Development and Precision Oncology",7,33,"Invited",2018-03-19 13:30:00,2018-03-19 13:52:00
"166","Panel discussion",8,-2,"Invited",2018-03-19 13:30:00,2018-03-19 13:52:00
"167","Efficient Conversion Probability Estimator for Display Advertising",1,16,"Contributed",2018-03-19 13:52:00,2018-03-19 14:14:00
"168","Correcting False Discovery Rates for their Bias Toward False Positives",2,7,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"169","Practical Testing",3,2,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"170","Validation of Codes and Algorithms are an Essential Part of Research Using Routinely Collected Health Data",4,17,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"171","A Combined Estimating Function Approach to Count Data Regression Modeling",5,25,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"172","A Potts Mixture Spatiotemporal Joint Model for Combined MEG and EEG Data",6,10,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"173","Expanding the Predictive Ability of an Interpretable Tree",7,33,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"174","Industrial Quality Improvement Workshops and Applications",8,-2,"Invited",2018-03-19 13:52:00,2018-03-19 14:14:00
"175","The Status of Statistics Curricula in Canada",1,16,"Contributed",2018-03-19 14:14:00,2018-03-19 14:36:00
"176","Mapping Complex Traits, Rare Variants and Interaction via the Coalescent Process with Recombination ",2,7,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"177","Discordance in Hormone Receptor Status Between Two Primary Breast Cancers: The Impact of Misclassification",3,2,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"178","Full-Range Tail Dependence Copulas",4,17,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"179","Self-Normalized Partial Sums of Randomly Weighted Data",5,25,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"180","Spatial Modeling of Repeated Events: An Application to Disease Mapping",6,10,"Contributed",2018-03-19 14:14:00,2018-03-19 14:36:00
"181","Development of Quality Assurance Program for Jaundice Meter Management",7,33,"Contributed",2018-03-19 14:14:00,2018-03-19 14:36:00
"182","Panel discussion",8,-2,"Invited",2018-03-19 14:14:00,2018-03-19 14:36:00
"183","Piecewise Linear Quantile Regression for Estimation of Ecological Breakpoints",1,16,"Contributed",2018-03-19 14:36:00,2018-03-19 14:58:00
"184","Measurement and Association Testing of 5-hydroxymethylcytosine (5hmC) Methylation",2,7,"Contributed",2018-03-19 14:36:00,2018-03-19 14:58:00
"185","Quantile Regression with Nominated Samples",3,2,"Contributed",2018-03-19 14:36:00,2018-03-19 14:58:00
"186","Ordinal Regression for the Analysis of Health Utility Data",4,17,"Contributed",2018-03-19 14:36:00,2018-03-19 14:58:00
"187","Box-Cox Time Series",5,25,"Contributed",2018-03-19 14:36:00,2018-03-19 14:58:00
"188","Superfast Inference for Stationary Gaussian Processes",6,10,"Contributed",2018-03-19 14:36:00,2018-03-19 14:58:00
"189","Panel discussion",8,-2,"Invited",2018-03-19 14:36:00,2018-03-19 14:58:00
"190","Tall Tales vs Tall Tails: Rules of Thumb for Statistical Inference",1,16,"Contributed",2018-03-19 15:30:00,2018-03-19 15:52:00
"191","A Robust Allele-based Regression Framework for Testing Association and Hardy-Weinberg Equilibrium",2,7,"Contributed",2018-03-19 15:30:00,2018-03-19 15:52:00
"192","Incorporating Auxiliary Information by Joint Modelling of Pseudo Data and Length Biased Data",3,2,"Contributed",2018-03-19 15:30:00,2018-03-19 15:52:00
"193","A Latent Gaussian Mixture Model for Longitudinal Data",4,17,"Contributed",2018-03-19 15:30:00,2018-03-19 15:52:00
"194","Modeling the Random Effects Covariance Matrix for Longitudinal Data with Covariate Measurement Error",5,25,"Contributed",2018-03-19 15:30:00,2018-03-19 15:52:00
"195","A Probabilistic-Based Approach for Clustering Sparse Single-Cell DNA Methylation Data",6,12,"Student",2018-03-19 15:30:00,2018-03-19 15:52:00
"196","Importance Sampling Techniques for Single Index Models",7,35,"Contributed",2018-03-19 15:30:00,2018-03-19 15:52:00
"197","Use of the Segmented Regression Analysis Approach to Adjust for Potential Confounders and Effect Modifiers when Evaluating Public Health Interventions",2,7,"Contributed",2018-03-19 15:52:00,2018-03-19 16:14:00
"198","Statistical Modelling of Spot Fires in Forest Fire Control",3,2,"Contributed",2018-03-19 15:52:00,2018-03-19 16:14:00
"199","Tail Empirical Processes for Stochastic Volatility Models",4,17,"Contributed",2018-03-19 15:52:00,2018-03-19 16:14:00
"200","Towards More Reliable Neuroimaging-Based Biomarkers in Mental Illness: The Case of Schizophrenia Discrimination using fMRI Data",6,12,"Invited",2018-03-19 15:52:00,2018-03-19 16:14:00
"201","Realizing the Extremes: Estimation of Tail-Risk Measures from a High-Frequency Perspective",7,35,"Contributed",2018-03-19 15:52:00,2018-03-19 16:14:00
"202","A Comparison of Association Methods for Fine-Mapping from Sequence Data in Diploid Populations using the Case-Control Study Design",2,7,"Contributed",2018-03-19 16:14:00,2018-03-19 16:36:00
"203","Conditional Dependence Models under Covariate Measurement Error",3,2,"Contributed",2018-03-19 16:14:00,2018-03-19 16:36:00
"204","Kernel-Based Causal Inference",4,17,"Contributed",2018-03-19 16:14:00,2018-03-19 16:36:00
"205","A Nonparametric Test for Detecting Periodicity in Time Series",6,12,"Contributed",2018-03-19 16:14:00,2018-03-19 16:36:00
